,cortezia MIBR,xenom MIBR,Verno MIBR,aspas MIBR,artzin MIBR
MiniBoo TH,2 1 +1,1 0 +1,1 0 +1,0 1 -1,1 1 +0
benjyfishy TH,,,,1 0 +1,
RieNs TH,,1 0 +1,,0 1 -1,1 0 +1
Boo TH,1 1 +0,,0 1 -1,2 1 +1,
Wo0t TH,,2 0 +2,,1 1 +0,1 3 -2
