,cortezia MIBR,xenom MIBR,Verno MIBR,aspas MIBR,artzin MIBR
MiniBoo TH,8 4 +4,4 6 -2,6 9 -3,1 8 -7,7 8 -1
benjyfishy TH,2 9 -7,5 6 -1,4 8 -4,7 6 +1,5 8 -3
RieNs TH,5 8 -3,8 6 +2,5 4 +1,8 7 +1,4 7 -3
Boo TH,2 6 -4,3 6 -3,5 9 -4,4 7 -3,3 5 -2
Wo0t TH,5 6 -1,5 6 -1,7 6 +1,5 10 -5,5 11 -6
