,nAts TL,keiko TL,kamo TL,kamyk TL,paTiTek TL
benjyfishy TH,2 13 -11,5 8 -3,6 12 -6,5 8 -3,4 5 -1
Boo TH,2 10 -8,2 11 -9,2 12 -10,12 7 +5,6 3 +3
Wo0t TH,9 10 -1,5 10 -5,6 10 -4,9 5 +4,5 8 -3
MiniBoo TH,4 7 -3,9 11 -2,10 8 +2,4 11 -7,5 10 -5
RieNs TH,11 6 +5,8 11 -3,10 10 +0,4 9 -5,1 11 -10
