,nAts TL,keiko TL,kamo TL,kamyk TL,paTiTek TL
benjyfishy TH,1 5 -4,4 2 +2,2 4 -2,3 2 +1,2 2 +0
Boo TH,0 5 -5,0 4 -4,0 3 -3,4 0 +4,2 2 +0
Wo0t TH,4 4 +0,2 3 -1,2 3 -1,3 1 +2,2 4 -2
MiniBoo TH,0 1 -1,1 4 -3,5 2 +3,0 3 -3,0 6 -6
RieNs TH,5 1 +4,2 4 -2,1 3 -2,0 3 -3,1 3 -2
