,nAts TL,keiko TL,kamo TL,kamyk TL,paTiTek TL
benjyfishy TH,0 3 -3,0 2 -2,2 2 +0,0 2 -2,0 1 -1
Boo TH,0 3 -3,,1 3 -2,,2 0 +2
Wo0t TH,0 2 -2,0 1 -1,3 2 +1,2 0 +2,0 3 -3
MiniBoo TH,1 1 +0,1 2 -1,3 3 +0,1 1 +0,0 2 -2
RieNs TH,,1 2 -1,0 1 -1,0 1 -1,
