,nAts TL,keiko TL,kamo TL,kamyk TL,paTiTek TL
benjyfishy TH,0 2 -2,0 1 -1,,,
Boo TH,0 2 -2,,1 1 +0,,1 0 +1
Wo0t TH,0 1 -1,,1 1 +0,,0 2 -2
MiniBoo TH,1 0 +1,,2 2 +0,,
RieNs TH,,,0 1 -1,0 1 -1,
