,nAts TL,keiko TL,kamo TL,kamyk TL,paTiTek TL
benjyfishy TH,0 5 -5,1 2 -1,2 4 -2,1 2 -1,1 3 -2
Boo TH,1 3 -2,1 3 -2,2 4 -2,4 4 +0,2 1 +1
Wo0t TH,3 4 -1,1 4 -3,1 3 -2,3 0 +3,1 4 -3
MiniBoo TH,3 3 +0,5 2 +3,5 5 +0,2 4 -2,3 1 +2
RieNs TH,4 2 +2,4 3 +1,4 5 -1,2 2 +0,0 5 -5
