,nAts TL,keiko TL,kamo TL,kamyk TL,paTiTek TL
benjyfishy TH,1 3 -2,0 4 -4,2 4 -2,1 4 -3,1 0 +1
Boo TH,1 2 -1,1 4 -3,0 5 -5,4 3 +1,2 0 +2
Wo0t TH,2 2 +0,2 3 -1,3 4 -1,3 4 -1,2 0 +2
MiniBoo TH,1 3 -2,3 5 -2,0 1 -1,2 4 -2,2 3 -1
RieNs TH,2 3 -1,2 4 -2,5 2 +3,2 4 -2,0 3 -3
