,nAts TL,keiko TL,kamo TL,kamyk TL,paTiTek TL
benjyfishy TH,,,1 2 -1,0 1 -1,0 1 -1
Boo TH,0 1 -1,,0 1 -1,,1 0 +1
Wo0t TH,,,2 0 +2,2 0 +2,0 1 -1
MiniBoo TH,,,1 1 +0,0 1 -1,0 1 -1
RieNs TH,,,,,
