,NaturE EG,supamen EG,yay EG,icy EG,Derrek EG
heat FUR,0 1 -1,1 1 +0,2 2 +0,,1 0 +1
Urango FUR,,0 1 -1,0 1 -1,0 1 -1,
tuyz FUR,,,,,
adverso FUR,,,1 2 -1,,
Palla FUR,0 1 -1,,3 1 +2,1 1 +0,0 1 -1
