,NaturE EG,supamen EG,yay EG,icy EG,Derrek EG
heat FUR,0 1 -1,1 1 +0,2 4 -2,1 0 +1,1 1 +0
Urango FUR,,0 1 -1,0 1 -1,0 3 -3,0 1 -1
tuyz FUR,,,,,
adverso FUR,,,2 2 +0,1 0 +1,
Palla FUR,0 3 -3,1 1 +0,4 3 +1,2 2 +0,0 2 -2
