,NaturE EG,supamen EG,yay EG,icy EG,Derrek EG
heat FUR,3 2 +1,4 2 +2,2 3 -1,2 5 -3,5 2 +3
Urango FUR,3 3 +0,2 5 -3,3 4 -1,2 3 -1,1 5 -4
tuyz FUR,2 1 +1,3 5 -2,4 6 -2,4 3 +1,2 2 +0
adverso FUR,3 1 +2,0 6 -6,3 6 -3,3 3 +0,1 2 -1
Palla FUR,2 2 +0,2 3 -1,5 4 +1,3 4 -1,5 2 +3
