,NaturE EG,supamen EG,yay EG,icy EG,Derrek EG
heat FUR,1 0 +1,2 0 +2,1 4 -3,,
Urango FUR,,,0 1 -1,1 0 +1,
tuyz FUR,,,0 3 -3,,
adverso FUR,,,0 4 -4,,
Palla FUR,1 0 +1,,0 3 -3,,1 0 +1
