,NaturE EG,supamen EG,yay EG,icy EG,Derrek EG
heat FUR,,,0 2 -2,,
Urango FUR,,,,,
tuyz FUR,,,,,
adverso FUR,,,0 1 -1,,
Palla FUR,1 0 +1,,0 1 -1,,1 0 +1
