,NaturE EG,supamen EG,yay EG,icy EG,Derrek EG
heat FUR,4 2 +2,4 3 +1,3 8 -5,3 10 -7,6 9 -3
Urango FUR,3 4 -1,5 9 -4,6 8 -2,3 8 -5,7 8 -1
tuyz FUR,6 5 +1,5 8 -3,5 7 -2,6 8 -2,3 6 -3
adverso FUR,5 6 -1,2 10 -8,7 9 -2,6 6 +0,3 2 +1
Palla FUR,4 6 -2,5 5 +0,8 9 -1,7 6 +1,7 5 +2
