,NaturE EG,supamen EG,yay EG,icy EG,Derrek EG
heat FUR,1 0 +1,0 1 -1,1 5 -4,1 5 -4,1 7 -6
Urango FUR,0 1 -1,3 4 -1,3 4 -1,1 5 -4,6 3 +3
tuyz FUR,4 4 +0,2 3 -1,1 1 +0,2 5 -3,1 4 -3
adverso FUR,2 5 -3,2 4 -2,4 3 +1,3 3 +0,2 0 +2
Palla FUR,2 4 -2,3 2 +1,3 5 -2,4 2 +2,2 3 -1
