,gyen DFM,Jinboong DFM,SSeeS DFM,Meiy DFM,Akame DFM
Dambi NS,1 0 +1,,0 1 -1,3 2 +1,1 1 +0
Francis NS,,,,,
Persia NS,0 1 -1,,,1 1 +0,
Ivy NS,1 0 +1,1 1 +0,1 1 +0,,1 0 +1
Rb NS,,,0 1 -1,1 2 -1,1 0 +1
