,gyen DFM,Jinboong DFM,SSeeS DFM,Meiy DFM,Akame DFM
Dambi NS,3 3 +0,1 3 -2,4 3 +1,5 4 +1,5 2 +3
Francis NS,2 5 -3,4 3 +1,4 0 +4,2 5 -3,5 2 +3
Persia NS,2 5 -3,3 4 -1,1 2 -1,4 3 +1,2 1 +1
Ivy NS,3 4 -1,4 6 -2,2 3 -1,1 2 -1,4 0 +4
Rb NS,4 2 +2,4 1 +3,5 4 +1,4 3 +1,2 2 +0
