,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Rb NS,,,1 Round 16 Jinboong Akame SSeeS,,,,,,,,40,0,0
Persia NS,,2 Round 2 Akame Jinboong Round 19 gyen Jinboong,2 Round 1 gyen Jinboong Akame Round 12 Jinboong SSeeS gyen,,,,,,,,78,0,0
Dambi NS,,3 Round 9 SSeeS gyen Round 17 SSeeS Meiy Round 19 SSeeS Akame,1 Round 8 gyen Akame SSeeS,,,,,,,,65,0,1
Francis NS,,4 Round 7 SSeeS gyen Round 9 Jinboong Meiy Round 13 Meiy SSeeS Round 15 Akame Jinboong,1 Round 14 Akame gyen Meiy,,,,,,,,59,2,0
Ivy NS,,3 Round 4 gyen SSeeS Round 6 Jinboong Meiy Round 13 Akame gyen,,,,,,,,,41,6,0
Jinboong DFM,,,,,,,,,,,40,1,0
Meiy DFM,,4 Round 4 Dambi Ivy Round 11 Ivy Rb Round 12 Rb Ivy Round 18 Rb Persia,,,,,1 Round 18 Persia Rb,,,,56,1,0
Akame DFM,,1 Round 17 Francis Dambi,2 Round 10 Francis Ivy Persia Round 18 Ivy Dambi Francis,,,1 Round 12 Persia,,,,,64,0,0
SSeeS DFM,,1 Round 15 Ivy Rb,,,,1 Round 15 Rb,,,,,27,0,0
gyen DFM,,2 Round 11 Dambi Francis Round 12 Francis Dambi,1 Round 4 Francis Persia Rb,,,,,,,,38,1,0
