,gyen DFM,Jinboong DFM,SSeeS DFM,Meiy DFM,Akame DFM
Dambi NS,3 1 +2,1 0 +1,2 0 +2,,0 2 -2
Francis NS,,,,1 0 +1,0 1 -1
Persia NS,1 0 +1,,,,1 0 +1
Ivy NS,,,,0 1 -1,1 0 +1
Rb NS,,1 0 +1,,0 2 -2,1 0 +1
