,gyen DFM,Jinboong DFM,SSeeS DFM,Meiy DFM,Akame DFM
Dambi NS,8 6 +2,3 5 -2,9 3 +6,9 6 +3,9 6 +3
Francis NS,4 9 -5,8 4 +4,7 0 +7,7 6 +1,8 6 +2
Persia NS,6 7 -1,10 7 +3,3 2 +1,5 4 +1,6 4 +2
Ivy NS,6 4 +2,6 6 +0,4 4 +0,3 5 -2,7 2 +5
Rb NS,7 3 +4,5 3 +2,7 8 -1,5 8 -3,4 3 +1
