,gyen DFM,Jinboong DFM,SSeeS DFM,Meiy DFM,Akame DFM
Dambi NS,4 1 +3,1 0 +1,2 1 +1,3 2 +1,1 3 -2
Francis NS,,,,1 0 +1,0 1 -1
Persia NS,1 1 +0,,,1 1 +0,1 0 +1
Ivy NS,1 0 +1,1 1 +0,1 1 +0,0 1 -1,2 0 +2
Rb NS,,1 0 +1,0 1 -1,1 4 -3,2 0 +2
