,gyen DFM,Jinboong DFM,SSeeS DFM,Meiy DFM,Akame DFM
Dambi NS,5 3 +2,2 2 +0,5 0 +5,4 2 +2,4 4 +0
Francis NS,2 4 -2,4 1 +3,3 0 +3,5 1 +4,3 4 -1
Persia NS,4 2 +2,7 3 +4,2 0 +2,1 1 +0,4 3 +1
Ivy NS,3 0 +3,2 0 +2,2 1 +1,2 3 -1,3 2 +1
Rb NS,3 1 +2,1 2 -1,2 4 -2,1 5 -4,2 1 +1
