,d4v41 PRX,mindfreak PRX,Jinggg PRX,something PRX,f0rsakeN PRX
Ash GEN,0 2 -2,0 3 -3,2 5 -3,2 3 -1,2 4 -2
Munchkin GEN,4 2 +2,1 3 -2,3 3 +0,3 2 +1,0 3 -3
t3xture GEN,7 2 +5,5 3 +2,3 4 -1,2 5 -3,5 1 +4
Suggest GEN,1 2 -1,4 1 +3,2 4 -2,2 3 -1,1 5 -4
Karon GEN,1 1 +0,2 7 -5,3 4 -1,3 1 +2,5 2 +3
