,d4v41 PRX,mindfreak PRX,Jinggg PRX,something PRX,f0rsakeN PRX
Ash GEN,,,,,1 1 +0
Munchkin GEN,,,0 1 -1,1 0 +1,0 2 -2
t3xture GEN,0 1 -1,2 0 +2,,,0 2 -2
Suggest GEN,,,1 0 +1,,1 0 +1
Karon GEN,1 0 +1,,,1 0 +1,1 1 +0
