,d4v41 PRX,mindfreak PRX,Jinggg PRX,something PRX,f0rsakeN PRX
Ash GEN,,,0 1 -1,0 1 -1,2 3 -1
Munchkin GEN,,,0 3 -3,1 0 +1,0 3 -3
t3xture GEN,0 1 -1,2 2 +0,2 2 +0,0 1 -1,4 5 -1
Suggest GEN,1 2 -1,,2 2 +0,,3 3 +0
Karon GEN,1 0 +1,0 2 -2,0 2 -2,2 1 +1,3 1 +2
