,d4v41 PRX,mindfreak PRX,Jinggg PRX,something PRX,f0rsakeN PRX
Ash GEN,,,,,
Munchkin GEN,,,0 1 -1,,0 1 -1
t3xture GEN,,0 1 -1,1 0 +1,0 1 -1,2 2 +0
Suggest GEN,1 1 +0,,1 0 +1,,2 2 +0
Karon GEN,,,0 2 -2,1 1 +0,2 0 +2
