,d4v41 PRX,mindfreak PRX,Jinggg PRX,something PRX,f0rsakeN PRX
Ash GEN,6 5 +1,2 5 -3,7 8 -1,9 7 +2,8 9 -1
Munchkin GEN,12 5 +7,9 7 +2,10 10 +0,9 3 +6,2 9 -7
t3xture GEN,12 8 +4,14 9 +5,13 4 +9,8 13 -5,10 9 +1
Suggest GEN,3 7 -4,10 6 +4,7 7 +0,8 7 +1,7 13 -6
Karon GEN,14 9 +5,8 10 -2,9 8 +1,11 6 +5,16 8 +8
