,d4v41 PRX,mindfreak PRX,Jinggg PRX,something PRX,f0rsakeN PRX
Ash GEN,3 2 +1,1 1 +0,1 1 +0,4 2 +2,3 4 -1
Munchkin GEN,2 0 +2,5 4 +1,3 4 -1,3 1 +2,1 3 -2
t3xture GEN,1 4 -3,3 5 -2,6 0 +6,3 5 -2,3 4 -1
Suggest GEN,2 2 +0,4 3 +1,4 1 +3,3 2 +1,4 5 -1
Karon GEN,9 2 +7,2 3 -1,3 2 +1,5 2 +3,5 5 +0
