,d4v41 PRX,mindfreak PRX,Jinggg PRX,something PRX,f0rsakeN PRX
Ash GEN,3 1 +2,1 1 +0,4 2 +2,3 2 +1,3 1 +2
Munchkin GEN,6 3 +3,3 0 +3,4 3 +1,3 0 +3,1 3 -2
t3xture GEN,4 2 +2,6 1 +5,4 0 +4,3 3 +0,2 4 -2
Suggest GEN,0 3 -3,2 2 +0,1 2 -1,3 2 +1,2 3 -1
Karon GEN,4 6 -2,4 0 +4,3 2 +1,3 3 +0,6 1 +5
