,d4v41 PRX,mindfreak PRX,Jinggg PRX,something PRX,f0rsakeN PRX
Ash GEN,,,0 1 -1,0 1 -1,1 2 -1
Munchkin GEN,,,0 1 -1,,
t3xture GEN,,0 1 -1,1 2 -1,,2 1 +1
Suggest GEN,0 1 -1,,0 2 -2,,0 1 -1
Karon GEN,,0 2 -2,,,
