,trent G2,JonahP G2,jawgemo G2,BABYBAY G2,valyn G2
N4RRATE SEN,5 2 +3,3 5 -2,4 3 +1,5 3 +2,0 5 -5
Zellsis SEN,2 0 +2,2 6 -4,6 5 +1,4 2 +2,4 3 +1
bang SEN,3 3 +0,1 2 -1,3 5 -2,4 2 +2,5 5 +0
zekken SEN,4 1 +3,7 1 +6,3 5 -2,6 4 +2,6 7 -1
johnqt SEN,2 4 -2,7 2 +5,1 1 +0,2 2 +0,2 6 -4
