,trent G2,JonahP G2,jawgemo G2,BABYBAY G2,valyn G2
N4RRATE SEN,1 0 +1,1 0 +1,0 1 -1,1 0 +1,2 0 +2
Zellsis SEN,1 0 +1,,1 0 +1,,
bang SEN,,,,1 0 +1,
zekken SEN,0 1 -1,0 2 -2,3 0 +3,2 0 +2,2 0 +2
johnqt SEN,,2 0 +2,,,
