,trent G2,JonahP G2,jawgemo G2,BABYBAY G2,valyn G2
N4RRATE SEN,,,,,
Zellsis SEN,,,3 1 +2,,
bang SEN,,,0 1 -1,,
zekken SEN,,,0 1 -1,0 1 -1,
johnqt SEN,,,,,
