,trent G2,JonahP G2,jawgemo G2,BABYBAY G2,valyn G2
N4RRATE SEN,0 1 -1,,,,3 0 +3
Zellsis SEN,0 1 -1,,,0 1 -1,1 0 +1
bang SEN,,,1 1 +0,,
zekken SEN,0 1 -1,0 1 -1,1 1 +0,2 3 -1,
johnqt SEN,,,1 0 +1,,
