,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Zellsis SEN,,3,5,,,1,1,,,,50,2,1
johnqt SEN,,6,2,,,,,,,,52,8,1
bang SEN,,7,3,,,1,,,,,49,4,1
zekken SEN,,8,7,1,,,1,,,,57,1,2
N4RRATE SEN,,8,2,,,,1,,,,51,9,3
BABYBAY G2,,4,1,,,,,,,,38,1,0
valyn G2,,9,6,,,,,,,,51,7,0
jawgemo G2,,6,2,1,1,,,,,,49,0,2
JonahP G2,,7,,1,,3,,,,,45,4,2
trent G2,,7,4,2,,,2,,,,67,14,3
