,trent G2,JonahP G2,jawgemo G2,BABYBAY G2,valyn G2
N4RRATE SEN,3 6 -3,2 4 -2,4 1 +3,0 2 -2,5 3 +2
Zellsis SEN,4 4 +0,2 1 +1,0 5 -5,3 4 -1,3 2 +1
bang SEN,1 3 -2,0 3 -3,5 4 +1,2 0 +2,2 4 -2
zekken SEN,0 5 -5,1 4 -3,4 1 +3,3 4 -1,1 2 -1
johnqt SEN,2 3 -1,4 2 +2,1 3 -2,2 0 +2,1 3 -2
