,trent G2,JonahP G2,jawgemo G2,BABYBAY G2,valyn G2
N4RRATE SEN,1 0 +1,0 1 -1,2 1 +1,1 0 +1,
Zellsis SEN,,,1 1 +0,1 1 +0,
bang SEN,0 1 -1,,0 3 -3,,0 1 -1
zekken SEN,,1 0 +1,1 2 -1,2 2 +0,0 2 -2
johnqt SEN,,1 0 +1,,,
