,trent G2,JonahP G2,jawgemo G2,BABYBAY G2,valyn G2
N4RRATE SEN,2 1 +1,1 1 +0,2 2 +0,2 0 +2,5 0 +5
Zellsis SEN,1 1 +0,,2 1 +1,1 2 -1,1 0 +1
bang SEN,0 1 -1,,1 4 -3,1 0 +1,0 1 -1
zekken SEN,0 2 -2,1 3 -2,5 3 +2,6 5 +1,2 2 +0
johnqt SEN,,3 0 +3,1 0 +1,,
