,trent G2,JonahP G2,jawgemo G2,BABYBAY G2,valyn G2
N4RRATE SEN,4 4 +0,4 0 +4,3 5 -2,3 1 +2,3 3 +0
Zellsis SEN,4 3 +1,3 2 +1,4 3 +1,1 2 -1,3 3 +0
bang SEN,3 1 +2,2 1 +1,3 2 +1,3 2 +1,4 2 +2
zekken SEN,2 7 -5,3 4 -1,5 2 +3,8 1 +7,4 1 +3
johnqt SEN,3 3 +0,3 2 +1,5 2 +3,2 1 +1,1 3 -2
