,Dambi NS,margaret NS,Persia NS,Francis NS,Ivy NS
Killua TLN,,,1 1 +0,,
primmie TLN,1 0 +1,3 0 +3,,3 1 +2,0 1 -1
JitBoyS TLN,1 0 +1,,,1 1 +0,2 0 +2
Crws TLN,1 2 -1,,,,
thyy TLN,1 0 +1,,1 0 +1,0 1 -1,
