,Dambi NS,margaret NS,Persia NS,Francis NS,Ivy NS
Killua TLN,1 6 -5,5 1 +4,5 3 +2,5 0 +5,2 3 -1
primmie TLN,5 5 +0,3 4 -1,5 2 +3,2 2 +0,0 2 -2
JitBoyS TLN,3 2 +1,6 5 +1,3 3 +0,3 0 +3,4 3 +1
Crws TLN,4 2 +2,2 2 +0,2 3 -1,4 3 +1,4 3 +1
thyy TLN,2 1 +1,0 4 -4,2 2 +0,2 5 -3,3 1 +2
