,Dambi NS,margaret NS,Persia NS,Francis NS,Ivy NS
Killua TLN,0 1 -1,,0 1 -1,1 0 +1,
primmie TLN,3 3 +0,1 0 +1,1 0 +1,,0 2 -2
JitBoyS TLN,1 0 +1,0 2 -2,0 1 -1,1 0 +1,0 1 -1
Crws TLN,,,,1 0 +1,
thyy TLN,1 0 +1,,0 1 -1,,
