,Dambi NS,margaret NS,Persia NS,Francis NS,Ivy NS
Killua TLN,0 2 -2,1 1 +0,7 3 +4,2 3 -1,0 5 -5
primmie TLN,2 6 -4,8 0 +8,4 2 +2,9 2 +7,2 3 -1
JitBoyS TLN,5 6 -1,2 2 +0,0 2 -2,4 2 +2,6 3 +3
Crws TLN,5 4 +1,1 2 -1,0 3 -3,2 1 +1,3 3 +0
thyy TLN,4 2 +2,3 4 -1,4 2 +2,2 2 +0,1 4 -3
