,Dambi NS,margaret NS,Persia NS,Francis NS,Ivy NS
Killua TLN,6 10 -4,8 6 +2,14 6 +8,9 8 +1,5 13 -8
primmie TLN,10 15 -5,13 6 +7,9 10 -1,13 7 +6,6 6 +0
JitBoyS TLN,10 12 -2,11 11 +0,5 8 -3,8 6 +2,12 6 +6
Crws TLN,9 8 +1,5 7 -2,5 9 -4,7 7 +0,9 12 -3
thyy TLN,8 5 +3,6 12 -6,9 6 +3,4 13 -9,6 8 -2
