,Dambi NS,margaret NS,Persia NS,Francis NS,Ivy NS
Killua TLN,5 2 +3,2 4 -2,2 0 +2,2 5 -3,3 5 -2
primmie TLN,3 4 -1,2 2 +0,0 6 -6,2 3 -1,4 1 +3
JitBoyS TLN,2 4 -2,3 4 -1,2 3 -1,1 4 -3,2 0 +2
Crws TLN,0 2 -2,2 3 -1,3 3 +0,1 3 -2,2 6 -4
thyy TLN,2 2 +0,3 4 -1,3 2 +1,0 6 -6,2 3 -1
