,Dambi NS,margaret NS,Persia NS,Francis NS,Ivy NS
Killua TLN,2 0 +2,1 0 +1,,,
primmie TLN,1 1 +0,0 1 -1,0 1 -1,0 1 -1,
JitBoyS TLN,0 2 -2,1 0 +1,1 1 +0,0 1 -1,
Crws TLN,,0 1 -1,0 1 -1,,0 2 -2
thyy TLN,0 1 -1,,,,1 0 +1
