,zekken SEN,johnqt SEN,Zellsis SEN,TenZ SEN,Sacy SEN
Lakia GEN,,,,,
Munchkin GEN,0 1 -1,,,,
t3xture GEN,2 0 +2,1 0 +1,1 0 +1,1 0 +1,
Meteor GEN,0 2 -2,,,,
Karon GEN,0 1 -1,,,,
