,zekken SEN,johnqt SEN,Zellsis SEN,TenZ SEN,Sacy SEN
Lakia GEN,2 0 +2,0 1 -1,1 0 +1,1 0 +1,0 2 -2
Munchkin GEN,2 0 +2,,1 1 +0,2 1 +1,
t3xture GEN,2 2 +0,0 1 -1,2 0 +2,3 2 +1,0 1 -1
Meteor GEN,1 1 +0,,0 4 -4,1 0 +1,1 1 +0
Karon GEN,2 0 +2,,0 1 -1,0 2 -2,
