,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Lakia GEN,,2 Round 4 Sacy johnqt Round 7 Zellsis Karon,,,,,,,,,26,1,0
Munchkin GEN,,2 Round 7 TenZ johnqt Round 12 zekken Zellsis,3 Round 8 Zellsis TenZ zekken Round 15 zekken Zellsis Sacy Round 17 johnqt Sacy TenZ,,,,,,,,63,6,0
t3xture GEN,,3 Round 3 Zellsis johnqt Round 17 Zellsis zekken Round 20 Zellsis johnqt,,,,,,,,,53,0,0
Meteor GEN,,2 Round 9 zekken Zellsis Round 20 zekken Sacy,2 Round 3 Sacy zekken TenZ Round 16 TenZ Zellsis Sacy,,,,,,,,76,1,0
Karon GEN,,1 Round 14 zekken TenZ,1 Round 19 Sacy johnqt TenZ,2 Round 1 zekken johnqt Zellsis Sacy Round 2 zekken Zellsis johnqt Sacy,,1 Round 12 Sacy,,,,,61,2,0
TenZ SEN,,3 Round 5 Karon Lakia Round 15 Karon Munchkin Round 18 t3xture Karon,,,,,,,,,34,0,0
Sacy SEN,,3 Round 6 t3xture Lakia Round 10 Karon Lakia Round 18 Lakia Meteor,1 Round 12 t3xture Munchkin Karon Sacy,,,,,,,,78,2,1
Zellsis SEN,,2 Round 5 t3xture Munchkin Round 10 Meteor Munchkin,,,,,,,,,32,1,0
johnqt SEN,,1 Round 9 Karon Lakia,1 Round 14 Munchkin Meteor Lakia,,,,,,,,30,0,0
zekken SEN,,,1 Round 7 Munchkin Meteor t3xture,,,,,,,,49,0,1
