,zekken SEN,johnqt SEN,Zellsis SEN,TenZ SEN,Sacy SEN
Lakia GEN,1 0 +1,0 1 -1,,1 0 +1,
Munchkin GEN,1 0 +1,,,2 1 +1,
t3xture GEN,1 1 +0,0 1 -1,1 0 +1,1 1 +0,0 1 -1
Meteor GEN,,,0 3 -3,,1 1 +0
Karon GEN,1 0 +1,,,0 1 -1,
