,zekken SEN,johnqt SEN,Zellsis SEN,TenZ SEN,Sacy SEN
Lakia GEN,2 2 +0,5 7 -2,5 2 +3,5 4 +1,4 10 -6
Munchkin GEN,7 5 +2,5 3 +2,5 6 -1,6 7 -1,4 7 -3
t3xture GEN,9 7 +2,7 3 +4,9 3 +6,9 5 +4,4 5 -1
Meteor GEN,6 4 +2,5 2 +3,7 6 +1,7 3 +4,10 5 +5
Karon GEN,12 1 +11,8 4 +4,4 4 +0,5 6 -1,5 7 -2
