,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN,Karon GEN
dos9 BME,0 1 -1,,0 2 -2,0 1 -1,
BerserX BME,0 1 -1,,0 3 -3,1 0 +1,
Shiro BME,,,1 3 -2,1 0 +1,
Famouz BME,,0 2 -2,,,
NcSlasher BME,,1 0 +1,1 1 +0,,
