,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN,Karon GEN
dos9 BME,,,1 1 +0,,
BerserX BME,,,1 0 +1,0 1 -1,
Shiro BME,,,1 1 +0,,0 1 -1
Famouz BME,1 0 +1,0 3 -3,0 1 -1,0 3 -3,
NcSlasher BME,,2 0 +2,1 0 +1,0 2 -2,0 1 -1
