,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN,Karon GEN
dos9 BME,2 2 +0,2 2 +0,4 6 -2,5 2 +3,5 5 +0
BerserX BME,3 2 +1,1 3 -2,3 5 -2,7 5 +2,2 3 -1
Shiro BME,1 3 -2,2 4 -2,3 3 +0,1 4 -3,2 5 -3
Famouz BME,2 0 +2,1 4 -3,1 3 -2,2 5 -3,0 7 -7
NcSlasher BME,1 3 -2,4 2 +2,2 2 +0,2 5 -3,2 3 -1
