,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN,Karon GEN
dos9 BME,2 5 -3,4 6 -2,5 10 -5,6 4 +2,7 7 +0
BerserX BME,4 3 +1,4 5 -1,5 11 -6,10 8 +2,3 5 -2
Shiro BME,3 6 -3,3 4 -1,8 8 +0,5 5 +0,5 9 -4
Famouz BME,5 3 +2,2 10 -8,2 6 -4,5 6 -1,3 10 -7
NcSlasher BME,3 5 -2,6 5 +1,4 5 -1,4 8 -4,3 5 -2
