,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN,Karon GEN
dos9 BME,0 3 -3,2 4 -2,1 4 -3,1 2 -1,2 2 +0
BerserX BME,1 1 +0,3 2 +1,2 6 -4,3 3 +0,1 2 -1
Shiro BME,2 3 -1,1 0 +1,5 5 +0,4 1 +3,3 4 -1
Famouz BME,3 3 +0,1 6 -5,1 3 -2,3 1 +2,3 3 +0
NcSlasher BME,2 2 +0,2 3 -1,2 3 -1,2 3 -1,1 2 -1
