,Ash GEN,Munchkin GEN,t3xture GEN,Foxy9 GEN,Karon GEN
dos9 BME,0 1 -1,,1 3 -2,0 1 -1,
BerserX BME,0 1 -1,,1 3 -2,1 1 +0,
Shiro BME,,,2 4 -2,1 0 +1,0 1 -1
Famouz BME,1 0 +1,0 5 -5,0 1 -1,0 3 -3,
NcSlasher BME,,3 0 +3,2 1 +1,0 2 -2,0 1 -1
