,PatMen PRX,f0rsakeN PRX,Jinggg PRX,d4v41 PRX,something PRX
valyn G2,4 3 +1,2 5 -3,2 5 -3,4 3 +1,4 3 +1
jawgemo G2,1 7 -6,5 1 +4,3 3 +0,2 3 -1,7 2 +5
trent G2,3 2 +1,4 3 +1,4 1 +3,4 1 +3,2 8 -6
leaf G2,5 4 +1,4 3 +1,4 2 +2,2 4 -2,0 5 -5
JonahP G2,1 5 -4,2 2 +0,4 3 +1,5 6 -1,3 0 +3
