,PatMen PRX,f0rsakeN PRX,Jinggg PRX,d4v41 PRX,something PRX
valyn G2,4 8 -4,2 2 +0,4 3 +1,3 3 +0,2 1 +1
jawgemo G2,3 1 +2,4 4 +0,5 5 +0,1 4 -3,5 5 +0
trent G2,3 2 +1,6 3 +3,3 3 +0,6 3 +3,4 2 +2
leaf G2,2 1 +1,2 4 -2,2 4 -2,4 5 -1,4 3 +1
JonahP G2,3 1 +2,1 1 +0,1 5 -4,2 1 +1,2 8 -6
