,PatMen PRX,f0rsakeN PRX,Jinggg PRX,d4v41 PRX,something PRX
valyn G2,8 11 -3,4 7 -3,6 8 -2,7 6 +1,6 4 +2
jawgemo G2,4 8 -4,9 5 +4,8 8 +0,3 7 -4,12 7 +5
trent G2,6 4 +2,10 6 +4,7 4 +3,10 4 +6,6 10 -4
leaf G2,7 5 +2,6 7 -1,6 6 +0,6 9 -3,4 8 -4
JonahP G2,4 6 -2,3 3 +0,5 8 -3,7 7 +0,5 8 -3
