,PatMen PRX,f0rsakeN PRX,Jinggg PRX,d4v41 PRX,something PRX
valyn G2,,,1 0 +1,0 1 -1,
jawgemo G2,,3 1 +2,1 1 +0,,2 2 +0
trent G2,1 0 +1,2 0 +2,,,0 1 -1
leaf G2,,,1 0 +1,0 2 -2,0 1 -1
JonahP G2,,,,,1 3 -2
