,mindfreak PRX,d4v41 PRX,something PRX,Jinggg PRX,f0rsakeN PRX
Meiy DFM,,1 0 +1,2 1 +1,0 2 -2,
gyen DFM,,,3 0 +3,2 0 +2,
Akame DFM,1 0 +1,1 0 +1,0 2 -2,,1 1 +0
Jinboong DFM,0 1 -1,,0 4 -4,,
Art DFM,0 1 -1,,,,
