,mindfreak PRX,d4v41 PRX,something PRX,Jinggg PRX,f0rsakeN PRX
Meiy DFM,1 0 +1,1 0 +1,,2 0 +2,
gyen DFM,,,1 0 +1,1 0 +1,1 1 +0
Akame DFM,1 0 +1,,1 0 +1,,
Jinboong DFM,,,,0 2 -2,1 0 +1
Art DFM,,,,,1 0 +1
